Sensor Alias,Gateway Alias,Variable,Statistic,Value
sensor03,gatewayA,Frequency (Hz),std,458435.4120469213
sensor03,gatewayA,Airtime (s),std,0.0007002310279007149
sensor03,gatewayA,Counter (-),std,37839.73995026886
sensor03,gatewayA,# Receiving Gateways (-),std,0.6265455267031103
sensor03,gatewayA,RSSI (dBm),min,-118.0
sensor03,gatewayA,SNR (dB),min,-9.75
sensor03,gatewayA,Spreading Factor (-),min,7.0
sensor03,gatewayA,Bandwidth (Hz),min,125000.0
sensor03,gatewayA,Frequency (Hz),min,903900000.0
sensor03,gatewayA,Airtime (s),min,0.056576
sensor03,gatewayA,Counter (-),min,40670.0
sensor03,gatewayA,# Receiving Gateways (-),min,1.0
sensor03,gatewayA,RSSI (dBm),max,-39.0
sensor03,gatewayA,SNR (dB),max,15.0
sensor03,gatewayA,Spreading Factor (-),max,7.0
sensor03,gatewayA,Bandwidth (Hz),max,125000.0
sensor03,gatewayA,Frequency (Hz),max,905300000.0
sensor03,gatewayA,Airtime (s),max,0.061696
sensor03,gatewayA,Counter (-),max,174707.0
sensor03,gatewayA,# Receiving Gateways (-),max,4.0
sensor03,gatewayA,RSSI (dBm),count,118105.0
sensor03,gatewayA,SNR (dB),count,115158.0
sensor03,gatewayA,Spreading Factor (-),count,118105.0
sensor03,gatewayA,Bandwidth (Hz),count,118105.0
sensor03,gatewayA,Frequency (Hz),count,118105.0
sensor03,gatewayA,Airtime (s),count,118105.0
sensor03,gatewayA,Counter (-),count,118105.0
sensor03,gatewayA,# Receiving Gateways (-),count,118105.0
sensor03,gatewayB,RSSI (dBm),mean,-112.57459366980325
sensor03,gatewayB,SNR (dB),mean,-7.052612419700214
sensor03,gatewayB,Spreading Factor (-),mean,7.0
sensor03,gatewayB,Bandwidth (Hz),mean,125000.0
sensor03,gatewayB,Frequency (Hz),mean,904624328.4858854
sensor03,gatewayB,Airtime (s),mean,0.05667454576561162
sensor03,gatewayB,Counter (-),mean,92458.39298545766
sensor03,gatewayB,# Receiving Gateways (-),mean,3.5892215568862276
sensor03,gatewayB,RSSI (dBm),std,6.778768533065001
sensor03,gatewayB,SNR (dB),std,1.6184228348188479
sensor03,gatewayB,Spreading Factor (-),std,0.0
sensor03,gatewayB,Bandwidth (Hz),std,0.0
sensor03,gatewayB,Frequency (Hz),std,462739.55546745384
sensor03,gatewayB,Airtime (s),std,0.0007034809066995373
sensor03,gatewayB,Counter (-),std,32116.386045925556
sensor03,gatewayB,# Receiving Gateways (-),std,0.5878574203538143
sensor03,gatewayB,RSSI (dBm),min,-122.0
sensor03,gatewayB,SNR (dB),min,-10.5
sensor03,gatewayB,Spreading Factor (-),min,7.0
sensor03,gatewayB,Bandwidth (Hz),min,125000.0
sensor03,gatewayB,Frequency (Hz),min,903900000.0
sensor03,gatewayB,Airtime (s),min,0.056576
sensor03,gatewayB,Counter (-),min,40814.0
sensor03,gatewayB,# Receiving Gateways (-),min,1.0
sensor03,gatewayB,RSSI (dBm),max,-67.0
sensor03,gatewayB,SNR (dB),max,4.0
sensor03,gatewayB,Spreading Factor (-),max,7.0
sensor03,gatewayB,Bandwidth (Hz),max,125000.0
sensor03,gatewayB,Frequency (Hz),max,905300000.0
sensor03,gatewayB,Airtime (s),max,0.061696
sensor03,gatewayB,Counter (-),max,175960.0
sensor03,gatewayB,# Receiving Gateways (-),max,4.0
sensor03,gatewayB,RSSI (dBm),count,11690.0
sensor03,gatewayB,SNR (dB),count,11675.0
sensor03,gatewayB,Spreading Factor (-),count,11690.0
sensor03,gatewayB,Bandwidth (Hz),count,11690.0
sensor03,gatewayB,Frequency (Hz),count,11690.0
sensor03,gatewayB,Airtime (s),count,11690.0
sensor03,gatewayB,Counter (-),count,11690.0
sensor03,gatewayB,# Receiving Gateways (-),count,11690.0
sensor03,gatewayC,RSSI (dBm),mean,-61.69623832324656
sensor03,gatewayC,SNR (dB),mean,14.747016503414919
